zodiac,question,card1,card2,card3,reading,category,question_sentiment,reading_sentiment
Aries,Will my current project be successful?,Four of Pentacles,Five of Wands,The Tower,"Reading:  You're clinging tightly to resources, Aries, but conflict is brewing around this project.  Unexpected changes are likely to disrupt your plans.  Loosen your grip and be flexible.",profession,POSITIVE,NEGATIVE
Aquarius,Is now a good time to start my own business?,Two of Pentacles,Queen of Cups,Ace of Wands,"Aquarius, you're juggling priorities (Two of Pentacles) but trust your intuition (Queen of Cups).  A new spark of energy supports your idea (Ace of Wands).  Go for it, but start small and scale up.",profession,POSITIVE,POSITIVE
Taurus,Is my current job aligned with my purpose?,Nine of Swords,Three of Swords,Five of Pentacles,"Taurus, your cards suggest a lot of job-related stress and potential financial worries. You may feel isolated and unsupported in your current role. It's time to reassess your career path and consider other options.",profession,NEGATIVE,NEGATIVE
Virgo,How can I achieve work-life balance?,Ace of Swords,The High Priestess,Eight of Wands,"Reading:  The Ace of Swords suggests a fresh, decisive approach to your schedule. The High Priestess encourages trusting your intuition regarding priorities.  The Eight of Wands shows rapid progress once you act.  Prioritize and you'll quickly find a better balance.",profession,NEGATIVE,POSITIVE
Virgo,What should I focus on to grow my career?,Eight of Pentacles,Two of Cups,Knight of Cups,"Virgo, the Eight of Pentacles points to honing your skills. The Two of Cups suggests collaborating and networking. The Knight of Cups encourages following your passion.  Focus on skill development, teamwork, and your creative interests to advance.",profession,NEGATIVE,POSITIVE
Capricorn,Should I take the job offer I received?,Six of Wands,Four of Pentacles,Page of Cups,"Reading:  The Six of Wands shows this job offer brings recognition you deserve, Capricorn.  Holding onto resources, as seen in the Four of Pentacles, makes sense but consider new possibilities with the Page of Cups. Think big and follow your intuition; this job looks promising.",profession,NEGATIVE,POSITIVE
Pisces,Will I get the promotion I desire?,King of Pentacles,Judgement,Two of Cups,"Pisces, the King of Pentacles suggests you have the skills.  Judgement points to a reassessment of your value, leading to the Two of Cups' partnership and success.  Go for it; you've got this.",profession,NEGATIVE,POSITIVE
Capricorn,What should I focus on to grow my career?,King of Cups,Seven of Pentacles,Five of Wands,"Capricorn, the King of Cups suggests leading with emotional intelligence. The Seven of Pentacles points to patience and continued effort in your current role.  The Five of Wands shows some competition but don't let it distract you.  Keep steady and focused on your long-term goals.",profession,NEGATIVE,POSITIVE
Aries,Am I undervaluing my professional worth?,King of Wands,Ace of Wands,Nine of Wands,"Aries, your fire is strong, but you're almost burned out. The wands suggest you have the skills and the drive, but you're guarding your energy.  Recognize your potential and negotiate your worth.",profession,NEGATIVE,POSITIVE
Aries,How can I create more stability in my career?,Judgement,Seven of Pentacles,Six of Pentacles,Reading:  Judgement shows a need to review past career choices and learn from them. The Seven of Pentacles suggests patience; long-term growth takes time. The Six of Pentacles indicates that sharing your skills or resources with others can create new opportunities. Invest in your long-term goals and support others.,profession,NEGATIVE,POSITIVE
Taurus,How can I achieve work-life balance?,Queen of Pentacles,Nine of Swords,The Devil,"Taurus, you're good at managing resources (Queen of Pentacles), but work stress is overwhelming you (Nine of Swords), and unhealthy habits might be holding you back (The Devil).  Prioritize your well-being and set healthy boundaries.  Break free from what's keeping you stuck.",profession,NEGATIVE,NEGATIVE
Gemini,Should I take the job offer I received?,Justice,Queen of Wands,Six of Pentacles,Reading:  Justice suggests this offer aligns with your values. The Queen of Wands shows you have the passion and drive to succeed in this role.  The Six of Pentacles indicates good financial stability and balance.  Go for it!,profession,NEGATIVE,POSITIVE
Gemini,Will my hard work pay off soon?,The Fool,Knight of Cups,The Chariot,"Gemini, your adventurous spirit (The Fool) combined with your passion (Knight of Cups) indicates forward momentum. The Chariot confirms you're on the right path to success, so keep going! Stay focused and your efforts will be rewarded.",profession,NEGATIVE,POSITIVE
Pisces,What do I need to learn to progress professionally?,King of Cups,The Devil,Eight of Pentacles,"Reading:  Pisces, to grow in your career, balance your emotions (King of Cups) and avoid unhealthy obsessions (The Devil).  Focus on improving your practical skills (Eight of Pentacles).  Stay grounded and keep learning.",profession,NEGATIVE,POSITIVE
Virgo,What skills should I develop to advance?,The Star,Four of Swords,Queen of Pentacles,"Virgo, The Star encourages creative visualization and hope for your future. The Four of Swords suggests you need rest and strategic planning before taking action. The Queen of Pentacles points towards practical skills and financial management.  Take a break, plan carefully, and then work on developing practical, money-savvy skills.",profession,NEGATIVE,POSITIVE
Virgo,What career best suits my soul's calling?,Knight of Cups,Justice,Four of Wands,"Reading:  Virgo, the Knight of Cups suggests a creative, caring career.  Justice points towards a field requiring fairness and balance, maybe law or mediation. The Four of Wands indicates a stable and supportive work environment. Consider careers combining creativity with structure, perhaps design or education.",profession,NEGATIVE,POSITIVE
Aries,Should I change my career path?,Knight of Swords,Ten of Wands,Queen of Pentacles,Reading:  The Knight of Swords suggests boldly pursuing your ideas.  The Ten of Wands indicates your current path might be overwhelming. The Queen of Pentacles affirms your ability to find stability in a new direction.  Consider exploring other options.,profession,NEGATIVE,POSITIVE
Aries,What changes should I make in my work life?,Judgement,The Fool,Ten of Pentacles,Reading:  Judgement suggests reviewing past work choices for lessons. The Fool encourages you to bravely explore a new path or project.  The Ten of Pentacles points toward long-term security and stability.  Consider a new direction that builds a stable future.,profession,NEGATIVE,POSITIVE
Virgo,Am I being recognized for my efforts at work?,King of Cups,Four of Swords,Four of Wands,"Virgo, the King of Cups shows your emotional maturity and leadership. The Four of Swords suggests you need a break, and the Four of Wands indicates approaching celebration. Take time to rest, and recognition will follow.",profession,NEGATIVE,POSITIVE
Libra,How do my coworkers truly see me?,The Emperor,The Fool,The Magician,Reading:  You're seen as a leader (Emperor) but also a bit unpredictable (Fool).  You have many talents and use them well (Magician). Trust your instincts and embrace your unique approach.,profession,NEGATIVE,POSITIVE
Libra,What do I need to learn to progress professionally?,King of Pentacles,Knight of Wands,The Hierophant,"Libra, to climb the ladder, embrace structured learning (The Hierophant) and bold action (Knight of Wands) while aiming for long-term mastery (King of Pentacles).  Combine formal training with a proactive spirit and a focus on sustainable growth.  Invest in yourself.",profession,NEGATIVE,POSITIVE
Leo,Am I on the right path professionally?,Eight of Cups,Ten of Wands,The Fool,"Leo, the Eight of Cups suggests you're leaving something behind career-wise. The Ten of Wands shows this is tiring, but The Fool signals a fresh start.  Embrace the unknown and move forward.",profession,POSITIVE,POSITIVE
Capricorn,Am I working in the right environment?,Page of Pentacles,Ace of Pentacles,Six of Cups,"Capricorn, the Page and Ace of Pentacles suggest you're in a good place to learn and grow financially.  The Six of Cups hints at a connection to the past or a more nurturing environment.  Consider if your current role offers enough long-term emotional fulfillment.",profession,POSITIVE,POSITIVE
Leo,What is the lesson in my current job experience?,Eight of Pentacles,Seven of Wands,Ace of Wands,"Reading:  Leo, the Eight of Pentacles shows you're developing valuable skills. The Seven of Wands suggests you're facing challenges, but the Ace of Wands signifies new beginnings.  Focus on honing your craft and embracing new opportunities.",profession,NEGATIVE,POSITIVE
Capricorn,Why do I feel stuck in my job?,Knight of Pentacles,The Devil,Two of Cups,"Capricorn, the Knight of Pentacles shows you're hardworking, but the Devil reveals a fear of change or unhealthy attachment.  The Two of Cups suggests a partnership or collaboration could help.  Look for support and rethink your commitment.",profession,NEGATIVE,NEGATIVE
